texto	fonte	ironico	num_de_anotadores_ironico	num_de_anotadores_total	Comparação	Hipérbole	Imparidade	Metáfora	Paradoxo	Vulgarismo	Outro	Sem Evidência
Câmaras cumpridoras vão financiar fundo de apoio às câmaras incumpridoras e Amareleja entrega cheque de 1 milhão de euros a Lisboa 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Alegada reportagem da televisão norte-coreana claramente falsa porque mostra a Selecção Nacional a ganhar à Alemanha 	Inimigo Público	--	0	1	0	0	0	0	0	0	0	1
Schäuble diz que Grécia precisa de terceiro pacote e que Portugal tem de aumentar o pacote como a Rita Pereira 	Inimigo Público	--	0	1	1	0	1	0	0	0	0	0
Protestante pendurado na cúpula da Basílica de S. Pedro é Tózé Seguro 	Inimigo Público	--	0	1	0	0	1	0	0	1	0	0
Chaimites dos golpistas do Sporting ocuparam lugar de estacionamento de Godinho Lopes 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Miguel Relvas chora no 'Alta Definição ' ao lembrar-se de Angola , Brasil , Colômbia , Rússia onde nasceu 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Guerra de números na TAP : sindicato diz que 800 mil pilotos aderiram à greve e governo garante que foram realizados os 50 milhões de voos previstos 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Soares garante que Passos chantageia Portas com submarinos e Portas chantageia Passos com lambreta de Mota Soares 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Nicolau Santos exigiu que Cavaco Silva lhe apresentasse provas de que era Presidente da República de Portugal antes de ser entrevistado pelo Expresso 	Inimigo Público	--	0	1	0	0	0	0	0	0	1	0
Comissão política do PS terá de votar acordo sobre governação 	Público	Não	0	5	0	0	0	0	0	0	0	5
Alemanha perdoa a dívida se Luisão não jogar contra o Leverkusen 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
FMI pensava que o Pitágoras era ministro das Finanças grego 	Inimigo Público	--	0	1	0	0	1	1	0	0	0	0
Última hora : bomba explodiu junto aos escritórios da Troika em Atenas e polícia já tem lista de suspeitos com cerca de 300 milhões de nomes 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
Governo renomeia ponte sobre o Tejo de ‘Ponte Salazar’ para impedir quer a CGTP se manifeste nela 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Cavaco Silva indigitou partidos que votaram a favor da UE , do Euro , do Pacto Orçamental e do Cavaco Silva 	Inimigo Público	Sim	5	5	0	1	0	1	3	0	2	0
Consumidores aconselhados a não comprarem carne que tenha sido picada por Miguel Relvas 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Passos Coelho lidera buscas para capturar 2 ministros , Paulo Portas e Álvaro Pereira , que andam à solta no Governo 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Nem Benfica , nem FC Porto : Maxi Pereira vai para a TAP 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Secretário de estado Hélder Rosalino sai do governo por ter falhado como cobaia do implante capilar que depois seria tentado em Passos 	Inimigo Público	--	0	1	0	0	1	0	0	0	1	0
José Sócrates diz estar ao lado de António Costa tal como os carteiristas se colocam ao lado das vítimas para as enganar 	Inimigo Público	--	0	1	1	0	0	0	0	0	0	0
PS em risco de ser expulso da sede de Santo Tirso , António José Seguro acredita que a Europa vai pagar a renda 	Inimigo Público	--	0	1	0	0	1	0	1	0	0	0
Não há homens providenciais 	Público	Não	2	5	0	2	0	2	0	0	0	3
Tensão no PS já dá para abastecer uma cidade de 50 mil habitantes 	Inimigo Público	Sim	5	5	0	4	2	1	0	0	0	0
Sócrates saúda governo alemão , ‘formado por dois partidos responsáveis e um gajo que é um crápula c***** filho da p***’ 	Inimigo Público	--	0	1	0	0	0	0	0	1	0	0
Sportinguista Bruma toma hoje posse como secretário de estado de Maria Luís Albuquerque 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Depois do divórcio do pequeno Manuel Maria Carrilho e da matulona Bárbara Guimarães acontece o divórcio do pequeno Cocas e da matulona Miss Piggy 	Inimigo Público	--	0	1	0	0	1	1	0	0	0	0
Brasil -Alemanha : Passos Coelho está indeciso entre apoiar o país irmão Brasil ou o país patrão Alemanha 	Inimigo Público	--	0	1	0	0	1	1	0	0	0	0
Troika e Fernando Tordo vão embora mas a austeridade e o Carlos Mendes ficam 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Vasco Pulido Valente acha que a entrevista de Miguel Sousa Tavares à 'Playboy ' não tem qualidade sequer para ser publicada na 'Gina' 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Passos Coelho diz que Governo sem Vitor Gaspar será apenas uma ONG piedosa 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Primeira bebé de 2014 já deve ao Fisco impostos atrasados desde 2005 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Papa fez exorcismo de Passos Coelho 	Inimigo Público	--	0	1	0	1	1	0	0	0	0	0
Pedras nos rins que aumentam devido à desidratação serão exploradas por empresa mineira indiana , anuncia Álvaro Santos Pereira 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Costa leva princípio de acordo à esquerda à aprovação do PS 	Público	Não	0	5	0	0	0	0	0	0	0	5
Apoiantes de Rui Rio destruíram várias estações de serviço da A1 durante a viagem até Lisboa 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
Angelina Jolie vai interpretar a sua mãe no cinema tal como Marques Mendes faz de Marcelo Rebelo de Sousa na SIC 	Inimigo Público	--	0	1	1	0	1	0	0	0	0	0
Fernando Ulrich acha que pode ser presidiário antes de se tornar sem-abrigo 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
Cavaco avisa que o Benfica só poderá festejar o título em 2035 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Ice Bucket Challenge : Passos tomou banho de água com gelo em prol dos portugueses e desafiou Costa e Seguro a fazer o mesmo 	Inimigo Público	--	0	1	0	0	1	1	0	0	0	0
Deputado do PND arrastado da cadeira de Jardim no parlamento da Madeira por não estar vestido de zulu 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Jorge Jesus fechado em casa a reflectir se o Blaise Pascal ficaria ou sairia do Benfica 	Inimigo Público	--	0	1	0	0	1	0	1	0	0	0
Depois da agenda para Portugal , Pacheco Pereira e Rui Rio lançam o calendário de talho com gatinhos para Portugal e o filofax para Portugal 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Passos Coelho espera que quarta temporada de ‘A Guerra dos Tronos’ arranque com massacre de pensionistas 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Cavaco Silva pede aos portugueses para não baixarem os braços à excepção do Macário Correia porque não usa desodorizante 	Inimigo Público	--	0	1	0	0	1	1	0	0	0	0
Cães de Cristas comeram o guião da reforma do Estado de Portas 	Inimigo Público	--	0	1	0	1	0	1	0	0	0	0
Ministério Público manda José Sócrates consultar o processo no Football Leaks 	Inimigo Público	Sim	5	5	0	0	5	0	0	0	0	0
Cavaco Silva vai apostar na táctica do `` filibuster '' falando 13 minutos seguidos 	Inimigo Público	--	0	1	0	0	0	0	0	0	1	0
Passos Coelho aconselha investigadores que ficaram sem bolsas a teletransportarem-se para o estrangeiro 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Passos Coelho pede silêncio ao Pedro do `` Facebook '' sobre o envio do OE para o Tribunal Constitucional 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
NSA espiou silêncio de Cavaco 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Papa Francisco escreve encíclica ‘E pluribus unum’ para apelar à paz entra taxistas portugueses porque pertencem todos à mesma religião benfiquista 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
5 de Outubro : Cavaco voltou a enganar-se e hasteou bandeira monárquica 	Inimigo Público	Sim	5	5	0	1	1	0	4	0	0	0
Edite Estrela acha que se deve escrever `` suópes '' e não `` swaps '' 	Inimigo Público	--	0	1	0	0	0	0	0	0	1	0
Ladrões que roubaram Ricardo Quaresma enquanto jogava com o Benfica vão roubar Passos Coelho quando regressar aos mercados 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
José Sócrates não quer pulseira electrónica porque assim não pode autografar obras na Feira do Livro como fazem todos os ex-presidiários 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Fisco penhora casa a contribuinte que apareceu na repartição de finanças de fato de treino 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Obama reitera intenção de fechar prisão de Guantánamo e de transferir os presos para a Casa dos Segredos 	Inimigo Público	--	0	1	1	0	1	0	0	0	0	0
Grândola Vila Morena em funk já é a música oficial da revolução brasileira 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Administradores do BANIF compraram cada acção por 0,01 cêntimos e venderam cada acção por 10 euros e um tal de Cavaco Selvagem Cagarra comprou cada acção do BANIF por 0,000000000001 cêntimos e vendeu cada acção por 1000 euros 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Novos eurodeputados vão ser praxados pelo Dux Veteranorum João de Deus Pinheiro 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Ucranianos pró-Europa substituem estátua do Lenine por estátua do Eusébio 	Inimigo Público	--	0	1	0	1	1	0	0	0	0	0
Criado o site Relvas Leaks 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Jornal espanhol alerta que Cristiano Ronaldo e António José Seguro podem ter a carreira em risco 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
EUA `` contam com Portugal '' na NATO , nem que seja para desatascar marines 	Público	Sim	5	5	0	3	1	1	2	2	0	0
Governo convoca 115 mil professores para vigiar 75 mil alunos e 230 mil polícias para vigiar os 115 mil professores 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
Estudo alerta para aumento de pragas de ratos , baratas e restaurantes de hambúrgueres gourmet nas cidades 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Pinto da Costa desviou D. Manuel Clemente do Patriarcado de Lisboa e bispo do Porto continua na Invicta 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Sócrates arranjou emprego a vender baba de caracol e banha da cobra 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Varoufakis mais realista propõe aos credores beber vinho carrascão numa marquise em vez de vinho branco numa varanda 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Transeuntes não sabem bem quem são Paulo Rangel e Francisco Assis e apenas perguntam se algum deles é o tal Palito 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Crédito malparado das famílias no nível mais elevado desde 1998 mas desce para o nível mais baixo de sempre se não incluir a família Espírito Santo 	Inimigo Público	--	0	1	0	1	0	0	1	0	0	0
Passos só dará os parabéns ao Benfica depois de o título ser ratificado pela Troika 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Joseph Blatter diz que a vitória de Portugal se deve à sazonalidade 	Inimigo Público	--	0	1	0	1	0	1	0	0	0	0
Novo reforço do Sporting já escolheu número de camisola no FC Porto 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Garantia de Passos , Cavaco e Portas : Grécia ainda não caiu mas Portugal continuará de joelhos 	Inimigo Público	--	0	1	0	0	0	0	0	0	1	0
Presidente do Olympiakos exige que próximo treinador faça castração química 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Humberto Coelho : Portugal perdeu com a França porque jogadores estavam a pensar na Albânia e se perder com a Albânia será porque estavam a pensar na derrota com a França 	Inimigo Público	--	0	1	0	0	0	0	0	0	1	0
Bruno de Carvalho promete eliminar adversários do Sporting com 'drones' 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Obama cumprimentou Raul Castro mas adeptos do Benfica já não conseguem fazer a mesma coisa com Jorge Jesus 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
João Rendeiro ataca sem misericórdia o Banco de Portugal comparando-o ao BPP 	Inimigo Público	--	0	1	1	0	0	0	0	0	0	0
Menores adoptados já podem conhecer os pais biológicos aos 16 anos de idade mas não querem por receio de serem filhos de Passos Coelho ou António Costa 	Inimigo Público	--	0	1	0	1	1	0	0	0	0	0
Sr. Fernando rejeita Big Brother e prefere entrar para o Conselho de Ministros 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
François Hollande sofre derrota histórica nas eleições municipais e apanha a Julie Gayet na cama com outro 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Depois de apelar à “ União Nacional “ , Passos Coelho apela à criatividade e empreendedorismo da “ Mocidade Portuguesa “ 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Direcção-Geral dos Recursos Naturais limita quota de carapaus de corrida que se podem candidatar a Belém 	Inimigo Público	--	0	1	0	0	1	1	0	0	0	0
Polémica : palhaços pobres do encontro internacional de palhaços a decorrer em Fafe acusam palhaços ricos de pertencer à Goldman Sachs 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Paulo Portas exige que gestores públicos andem às cavalitas de um motorista 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Rui Moreira vai criar uma escola de navegação em Aveiro , a ponta mais a Sul de Portugal 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Populações do Interior dizem que queda de granizo apenas em Lisboa é mais uma demonstração do centralismo inaceitável de Passos 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Godinho Lopes vai usar gravata com dragões 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Pai de Passos Coelho diz que sempre foi um 'socialista barato , ' algo que ninguém pensava que existisse 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
Candidato presidencial do PCP Edgar Silva que já foi padre vai fazer um exorcismo ao Palácio de Belém para expulsar os demónios cavaquistas 	Inimigo Público	Sim	5	5	0	1	5	4	3	0	0	0
António José Seguro diz que os socialistas querem que derrube António Costa : “O que me pedem é que corra com ele“ 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Homens fazem em média 50 quilómetros para ter sexo mas os que usam transportes públicos são forçados ao celibato 	Inimigo Público	--	0	1	0	0	0	0	0	0	1	0
Cavaco Silva anuncia na Suécia que António Costa já é primeiro-ministro 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Festa dos 10 anos do INIMIGO é na marquise de Rui Machete 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
Portugueses recebem membros estrangeiros da `` troika '' com canções de protesto do Bob Dylan 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
António José Seguro fotografou-se com o herdeiro ao seu trono 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Marco António Costa berra ‘És o melhor do mundo , c ... ! ’ a Pedro Passos Coelho 	Inimigo Público	--	0	1	0	0	0	0	0	1	0	0
Crise leva jovens mulheres de famílias-bem a adiarem o nascimento dos quatro primeiros filhos 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Miguel Lopes diz que é do milhão de euros por ano desde pequenino 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
Equipa do FC Porto não festeja hoje golos em Alvalade porque já foi toda do Sporting 	Inimigo Público	--	0	1	0	0	0	0	0	0	1	0
Futebolista chileno que enfiou o dedo no rabo de adversário é o novo director-geral de impostos 	Inimigo Público	--	0	1	0	0	0	1	0	1	0	0
Isabel Jonet diz que homossexuais só podem dar alimentos ao Banco Alimentar se estiverem em abstinência sexual 	Inimigo Público	--	0	1	0	0	0	0	1	0	1	0
Comemorações do 10 de Junho entraram para o Guiness com a maior concentração de pais do défice de sempre 	Inimigo Público	--	0	1	0	1	1	0	0	0	0	0
Papa diz que o Vaticano está cheio de corruptos e de gays , pelo que o Vaticano é uma espécie de Portugal em ponto pequeno 	Inimigo Público	--	0	1	0	0	0	1	0	1	0	0
Passos vai lavar os pés a Portas 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Estudo revela que lisboetas ficam com as carteiras que encontram no chão e em seu lugar deixam um monte de cuspe 	Inimigo Público	--	0	1	0	0	0	0	0	1	0	0
FC Porto contrata Quaresma , que já escolheu casa , carro e joalharia na Invicta 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Cavaco fala ao país às 20h30 e emigra às 20h45 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
Troika corta três jogadores de cada lado no Benfica x Olympiacos de hoje 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Passos Coelho e Mariano Rajoy trocam impressões sobre como é governar em países sem chefes de Estado 	Inimigo Público	--	0	1	0	0	0	1	1	0	0	0
Fórmula de Cavaco Silva para manter a estabilidade do Governo é a nova fórmula Skip tira-nódoas políticas como Passos Coelho e Paulo Portas 	Inimigo Público	--	0	1	1	0	1	0	0	0	0	0
Novo programa de que fala Mario Draghi para Portugal é 'Os Malucos do Riso' 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
Kim Kardashian na capa do “Avante ! “ põe comunistas portugueses em fúria 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Faccioso Cavaco só é o Presidente da República dos homens porque no discurso só disse “Portugueses“ 	Inimigo Público	Sim	5	5	0	3	0	1	0	0	1	0
Cavaco trouxe ratos e coelhos que destruíram a fauna das Selvagens e vai largá-los nas sedes do PSD , PS e CDS-PP 	Inimigo Público	--	0	1	0	0	1	1	0	0	0	0
Passos Coelho elogia Marco António Costa por estar a ser investigado pela PGR e diz que ele é o novo Dias Loureiro 	Inimigo Público	--	0	1	0	0	0	1	1	0	0	0
Passos confessa que se sentiu ‘à beira do abismo’ e que ‘muitas vezes , sentia o Paulo Portas a empurrar-me’ 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Espanhóis da Avanza compram Metro e Carris e funcionários de ambas as empresas marcam ‘siesta’ de protesto para amanhã 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Sousa Cintra enganado em negócio de olival pensava que 'Mark Knopfler ' era uma variedade de azeitona 	Inimigo Público	--	0	1	0	0	1	1	0	0	0	0
António José Seguro processa Santa Casa por estar viciado em Eurobonds 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Bodies de Diana Chaves custam 100 euros porque têm imagem de Cavaco Silva 	Inimigo Público	Sim	5	5	0	0	5	0	0	0	1	0
Sindicalistas portistas da CGTP invadem balneário de Paulo Fonseca 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Dona Inércia vai para o BES-mau , Dona ‘Mãe Coragem’ Dolores vai para o 'Novo Banco' 	Inimigo Público	--	0	1	1	0	0	1	0	0	0	0
Floyd Mayweather vence combate do século e recebe SMS ameaçador de António Costa 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Mais de metade do país está em seca severa , principalmente o Douro que ontem ouviu o discurso de Cavaco Silva 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Acordo entre Passos e Seguro no IRC ainda terá de ser ratificado pelos líderes do PS : Soares , Costa e Sócrates 	Inimigo Público	--	0	1	0	0	0	1	1	0	0	0
Peru António Costa vai ser morto e comido pelos socialistas depois da derrota na consoada de 4 de Outubro 	Inimigo Público	Sim	5	5	0	0	2	5	0	2	0	0
Paulo Portas aproveitou cheias em todo o país para dar uma volta com os submarinos 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Poesia de Fernando Pessoa traduzida e publicada na China apresenta heterónimo Licaldo Leis 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Publicidade do Novo Banco : CR7 tem a companhia da Dona Activa , da Dona Juíza , da Dona Judiciária , da Dona Procuradora , da Dona Supervisora e da Dona Reguladora 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Portugal coloca dívida a dez anos e crianças de 8 anos já foram notificadas de que em 2024 têm uma continha para pagar 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Transferência milionária : Armando Vara deixa Face Oculta e assina por 5 anos pela Operação Marquês 	Inimigo Público	--	0	1	0	0	0	1	1	0	0	0
Novo cartaz do PSD tem José Mourinho a dizer ‘Fui obrigado a emigrar e a ganhar 10 milhões de euros/ano’ 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Apoiantes de António Costa recriaram o desembarque da Normandia no Largo do Rato 	Inimigo Público	--	0	1	0	0	1	1	0	0	0	0
Posições defendidas por Portugal no Conselho Europeu são posições alemãs falsificadas 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Ronaldo irritado por novo Rei de Espanha ter conseguido um contrato vitalício antes dele 	Inimigo Público	--	0	1	0	0	1	1	0	0	0	0
Carta escrita por Passos a Sócrates em 2011 prova que Passos só aprendeu a enviar emails em 2012 	Inimigo Público	Sim	5	5	0	5	0	1	0	0	0	0
Papa Francisco vai tentar juntar António José Seguro e António Costa no Vaticano 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Segurança Social obriga homem a devolver subsídio que recebeu por gravidez de risco porque a gravidez afinal não foi de risco 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Comunicação de Cavaco ao país faz cotação do queijo limiano subir em flecha 	Inimigo Público	Sim	5	5	0	1	5	0	0	0	0	0
Paulo Portas garante que os mais pobres se pudessem fariam enormes manifestações de apoio ao Governo 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Nuno Crato contrata 100 mil professores sérvios 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
Novos Julgamentos de Santo António colocam juiz Carlos Alexandre a julgar casais de arguidos ao mesmo tempo 	Inimigo Público	--	0	1	0	0	0	0	0	0	1	0
Jorge Jesus vai sair do Benfica a dançar 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
SMS de Passos Coelho pressiona António Costa : “Se o Edson Athayde continuar a fazer os cartazes do PS já perderam as eleições“ 	Inimigo Público	--	0	1	0	0	0	0	0	0	1	0
Festejos efusivos de Francisco Assis nas europeias foram golpe de marketing para promover 'Francisco Assis , The Movie' 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Metade dos jovens europeus não consegue deixar a casa dos pais e admite rebaixar-se pedindo para entrar numa juventude partidária 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Físico português quer compreender a origem das trovoadas e dos acessos de fúria do Ricardo Quaresma 	Inimigo Público	--	0	1	0	0	1	1	0	0	0	0
OVNI visto em aeroporto alemão era Passos Coelho a visitar Angela Merkel vindo do mundo da Lua onde vive 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Estrangeiro com visto gold Hannibal Lecter investigado pelo DCIAP por alegados homicídios e canibalismo 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Fenómeno : governo não cortou nada entre as 12h45 e as 12h48 de hoje 	Inimigo Público	--	0	1	0	1	0	1	0	0	0	0
Carro de luxo comprado por Rui Patrício até vem com um Paulo Bento sobresselente na bagageira 	Inimigo Público	--	0	1	0	1	0	1	0	0	0	0
Quem não pedir factura nos restaurantes vai comer bife de cavalo 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
