texto	fonte	sim_ironico	nao_ironico	naosei_ironico	num_de_anotadores_total	Comparação	Hipérbole	Imparidade	Metáfora	Paradoxo	Vulgarismo	Outro	Sem Evidência	
Acabaram os 'jobs for the boys' porque já não há em Portugal 'jobs for nobody'	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
DCIAP vai analisar relatório sobre passagem de voos da CIA	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Varoufakis pediu a demissão e vem estudar finanças públicas com o professor Miguel Relvas 	Inimigo Público	0	0	0	1	0	0	0	0	1	0	0	0	
Range Rover, Mercedes e BMW acusam Governo e dizem-se prejudicadas por agricultores não terem recebido 140 milhões de euros	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Alegada reportagem da televisão norte-coreana claramente falsa porque mostra a Selecção Nacional a ganhar à Alemanha 	Inimigo Público	0	0	0	1	0	0	0	0	0	0	0	1	
Indivíduo queixa-se de que o modo shuffle nunca lhe dá as músicas que mais gosta	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Merkel vai andar de Clio na visita a Portugal para acalmar portugueses	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
BE estranha que o questionário dos Censos 2011 inclua perguntas sobre a música dos Village People	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
CDS-PP anuncia para Setembro projecto para rever lei das armas	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Ministra das Finanças também marca presença na festa do Pontal	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Governo reserva o Marquês do Pombal para festejar vitória na última avaliação da 'troika' 	Inimigo Público	0	0	0	1	0	0	1	1	0	0	0	0	
Comissão política do PS terá de votar acordo sobre governação 	Público	0	5	0	5	0	0	0	0	0	0	0	5	
"Seguro apela ao Governo para que ""evolua"" sobre matérias europeias"	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Última hora : bomba explodiu junto aos escritórios da Troika em Atenas e polícia já tem lista de suspeitos com cerca de 300 milhões de nomes 	Inimigo Público	0	0	0	1	0	1	0	0	0	0	0	0	
Faria Costa candidato a Provedor de Justiça	Público	0	0	0	0	0	0	0	0	0	0	0	0	
PSD e CDS surpreendem e colocam à votação o diploma de extinção de freguesias na próxima semana	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Governo cria equipa para adaptar eleições autárquicas às novas freguesias	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Ferrero Rocher arrependida de ter voltado depois do Verão para encontrar um aumento do IVA	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Maria Luís Albuquerque garante que Portugal não está a negociar 'a coisa ' nem 'a cena' 	Inimigo Público	0	0	0	1	0	1	0	0	0	1	0	0	
Concertação social: os pontos-chave do acordo	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Não há tolerância de ponto no Natal e Ano Novo	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Apoiantes do governo vão cantar ‘Nini dos meus 15 anos’ no parlamento 	Inimigo Público	0	0	0	1	0	0	1	0	0	0	0	0	
Verão hesitante	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Pizarro avisa comerciantes que se o PSD ganhar a restauração vai continuar a pagar 23% de IVA	Público	0	0	0	0	0	0	0	0	0	0	0	0	
"O ""inimigo"" do BE ""é a austeridade"" não é o PS"	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Vasco Pulido Valente acha que a entrevista de Miguel Sousa Tavares à 'Playboy ' não tem qualidade sequer para ser publicada na 'Gina' 	Inimigo Público	0	0	0	1	0	0	0	1	0	0	0	0	
"Seguro: ""O PS não será muleta do Governo"""	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Cavaco garante que não afasta da sua comissão honra elementos ligados ao BPN	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Passos Coelho diz que Governo sem Vitor Gaspar será apenas uma ONG piedosa 	Inimigo Público	0	0	0	1	0	0	0	1	0	0	0	0	
Passos Coelho diz desconhecer valor dos cortes	Público	0	0	0	0	0	0	0	0	0	0	0	0	
"""Os socialistas gastam e a nós toca-nos poupar"", diz Portas"	Público	0	0	0	0	0	0	0	0	0	0	0	0	
João Gomes Cravinho nomeado para chefe de delegação da UE em Nova Deli	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Parlamento espera há três meses explicações sobre BPN	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Freitas do Amaral diz que Portugal vive pior crise mas afasta eleições antecipadas	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Vítor Gaspar coloca bebés e incontinentes no mesmo escalão de IRS	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
"Juncker ""surpreendido"" com buraco na Madeira"	Público	0	0	0	0	0	0	0	0	0	0	0	0	
CDS-PP/Açores quer referendo sobre reforma da autonomia, PS diz que seria ilegal	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Canadairs do Ecofin despejam hoje 4,31 mil milhões sobre BPN, PPP e Fundações	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
"Silva Pereira : ""Este é o pior dos momentos"" para discutir a revisão constitucional"	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Depois dos partos caseiros, transplantes renais e bypass coronários são a nova moda	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Jardim contra Passos Coelho insiste na revisão constitucional	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Associação Nacional de Sargentos apela à fiscalização sucessiva do Orçamento	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Passos Coelho espera que quarta temporada de ‘A Guerra dos Tronos’ arranque com massacre de pensionistas 	Inimigo Público	0	0	0	1	0	0	1	0	0	0	0	0	
Maratonista Vítor Gaspar ainda vai fazer os portugueses sentirem mais dor-de-burro	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Cartazes de Passos Coelho nas legislativas de 2015 não vão ter foto de Passos Coelho , não vão ter símbolo do PSD e vão ter como slogan “ Passos Coelho odeia Passos Coelho “ 	Inimigo Público	0	0	0	1	0	0	0	0	1	0	1	0	
"Reformada diz a Passos que ""bate sempre na tecla da bancarrota"""	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Detido indivíduo no aeroporto de São Paulo com 5 desempregados portugueses no estômago	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Exército vai disponibilizar menos militares no apoio a entidades	Público	0	0	0	0	0	0	0	0	0	0	0	0	
NSA espiou silêncio de Cavaco 	Inimigo Público	0	0	0	1	0	0	0	0	1	0	0	0	
Alemães com insónias contam desempregados portugueses para adormecer	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
PCP espera que Cavaco Silva recuse empossar Franquelim Alves secretário de Estado	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Governo está a usar o passado para justificar novas medidas de austeridade, diz BE	Público	0	0	0	0	0	0	0	0	0	0	0	0	
José Sócrates não quer pulseira electrónica porque assim não pode autografar obras na Feira do Livro como fazem todos os ex-presidiários 	Inimigo Público	0	0	0	1	0	0	0	1	0	0	0	0	
Fisco penhora casa a contribuinte que apareceu na repartição de finanças de fato de treino 	Inimigo Público	0	0	0	1	0	0	0	0	1	0	0	0	
Catarina Furtado visitou Índia e ficou chocada com as diferenças colossais entre ricos e pobres, a mesma diferença que existe entre o salário de Catarina e o salário de um funcionário médio da RTP	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Grândola Vila Morena em funk já é a música oficial da revolução brasileira 	Inimigo Público	0	0	0	1	0	0	1	0	0	0	0	0	
Franquelim Alves começou na Ernst & Young com 16 anos, mas não como consultor	Público	0	0	0	0	0	0	0	0	0	0	0	0	
"BE diz que Relvas aparece associado a mais um ""caso nubloso"""	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Administradores do BANIF compraram cada acção por 0,01 cêntimos e venderam cada acção por 10 euros e um tal de Cavaco Selvagem Cagarra comprou cada acção do BANIF por 0,000000000001 cêntimos e vendeu cada acção por 1000 euros 	Inimigo Público	0	0	0	1	0	0	0	0	1	0	0	0	
Aumento do IRS para os indenpendentes também será limitado	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Caso Júlio César: PJ faz buscas nas casas de seis milhões de portugueses	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Criado o site Relvas Leaks 	Inimigo Público	0	0	0	1	0	0	0	0	1	0	0	0	
Primeiro peixe com cancro da pele passou demasiado tempo no grelhador durante o Verão	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Sporting não quis isolar-se no campeonato porque jogadores são muito jovens e têm medo de estar sozinhos 	Inimigo Público	0	0	0	1	0	1	0	0	1	0	0	0	
Estatutos da nova 'Bola TV' determinam que o canal deve ser 'tendencialmente benfiquista'	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Armando Vara em liberdade com caução de 300 000 euros e duas caixas de robalos 	Inimigo Público	5	0	0	5	0	2	4	0	0	0	0	0	
"Seguro ""chocado"" com afirmações de Passos Coelho sobre docentes desempregados"	Público	0	0	0	0	0	0	0	0	0	0	0	0	
"George Papandreou: ""Orçamento da UE deve ser o oposto das contas nacionais"""	Público	0	0	0	0	0	0	0	0	0	0	0	0	
O que faria Aristóteles?	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Representante da República nos Açores envia lei das 35 horas para o Constitucional	Público	0	0	0	0	0	0	0	0	0	0	0	0	
PSD apresenta Aguiar-Branco como candidato à Assembleia Municipal do Porto	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Rui Rio anuncia decisão sobre presidenciais em Outubro	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Conselhos de Cavaco	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Boloni acha que o Sporting só é campeão se matarem todos os jogadores e os substituírem pelos do Barcelona	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Humberto Coelho : Portugal perdeu com a França porque jogadores estavam a pensar na Albânia e se perder com a Albânia será porque estavam a pensar na derrota com a França 	Inimigo Público	0	0	0	1	0	0	0	0	0	0	1	0	
Soares considera que detenção de Armando Vara não é momento difícil para PS	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Membros dos “No Name Boys” e da “Juve Leo” queriam apedrejar o autocarro do Governo	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Bloco sublinha críticas de Cavaco ao plano para a RTP	Público	0	0	0	0	0	0	0	0	0	0	0	0	
PSD questiona Governo sobre plano de ordenamento da Costa Vicentina	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Tózé Seguro vai dar o salto da estratosfera mais lento e aborrecido de sempre	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Direcção-Geral dos Recursos Naturais limita quota de carapaus de corrida que se podem candidatar a Belém 	Inimigo Público	0	0	0	1	0	0	1	1	0	0	0	0	
Henrique Neto admite que gostava de gerir crise política em Belém	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Homens fazem em média 50 quilómetros para ter sexo mas os que usam transportes públicos são forçados ao celibato 	Inimigo Público	0	0	0	1	0	0	0	0	0	0	1	0	
"Cavaco está a passear com os netos e não pode ir ao funeral do ""chip"" mas já enviou condolências"	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
"Portas admite ""circunstâncias"" que podem ""legitimar"" aliança com PSD nas legislativas"	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Governo dá 15 dias às câmaras para revelarem dívidas	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Millennium bcp inspira-se no resultado da final da Taça de Portugal/Millennium bcp para subir o spread aos clientes 6,2%	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
"PS: Entrevista mostrou Cavaco Silva ""ligado à maioria que o elegeu"""	Público	0	0	0	0	0	0	0	0	0	0	0	0	
BE proíbe corridas de gambuzinos de morte e produção de ovos de minotauros de bateria	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Governo quer Palestina independente para haver mais um país atrás de Portugal nos índices económicos	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
"PCP exige ""programa de emergência"" na saúde para defender a ""vida dos portugueses"""	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Pamela Anderson faz presença na festa de encerramento da 2.ª sessão legislativa da XII legislatura 	Inimigo Público	0	0	0	1	0	0	1	0	0	0	0	0	
A Vida é Bela lança experiência “Gestor do BPN” que permite burlar pessoas, desviar dinheiro e fazer orgias com prostitutas em jactos particulares	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
"Soares diz que 'Grândola' é uma canção ""sempre actual"""	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Catroga critica Cavaco e diz que a equidade não se mede só no sistema fiscal	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Passos censura a incerteza introduzida por eleições antecipadas em 2014	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Papa diz que o Vaticano está cheio de corruptos e de gays , pelo que o Vaticano é uma espécie de Portugal em ponto pequeno 	Inimigo Público	0	0	0	1	0	0	0	1	0	1	0	0	
Estudo revela que lisboetas ficam com as carteiras que encontram no chão e em seu lugar deixam um monte de cuspe 	Inimigo Público	0	0	0	1	0	0	0	0	0	1	0	0	
Habitação, transportes e pobreza são prioridades do BE para Lisboa	Público	0	0	0	0	0	0	0	0	0	0	0	0	
"PCP e BE criticam Governo por propor ""mais trabalho com menos dinheiro"""	Público	0	0	0	0	0	0	0	0	0	0	0	0	
PCP chama ministro da Administração Interna ao Parlamento	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Novo submarino só chega a Portugal em 2011	Público	0	0	0	0	0	0	0	0	0	0	0	0	
O fantasma da coligação de esquerda à solta na campanha da PaF	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Estágio deste ano do Sporting e do Benfica está a servir exclusivamente para os jogadores memorizarem os nomes dos seus colegas	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
"Cavaco Silva termina hoje visita à Finlândia em que explicou ""cumprimento"" português"	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Cavaco trouxe ratos e coelhos que destruíram a fauna das Selvagens e vai largá-los nas sedes do PSD , PS e CDS-PP 	Inimigo Público	0	0	0	1	0	0	1	1	0	0	0	0	
Portugueses prepararam kartoffelkäse, brühwurst e zwiebelrostbraten para petiscarem enquanto apoiam a Alemanha contra a Espanha	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Tudo preparado para o arranque da Liga, incluindo os castigos a Hulk e Sapunaru	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Governo tenciona apresentar plano para as fundações no início de Setembro	Público	0	0	0	0	0	0	0	0	0	0	0	0	
António José Seguro processa Santa Casa por estar viciado em Eurobonds 	Inimigo Público	0	0	0	1	0	0	0	1	0	0	0	0	
Finanças lança passatempo de Geocaching com caça ao reembolso do IRS	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Dona Inércia vai para o BES-mau , Dona ‘Mãe Coragem’ Dolores vai para o 'Novo Banco' 	Inimigo Público	0	0	0	1	1	0	0	1	0	0	0	0	
Hospitais sem capacidade de resposta nas urgências para atender milhares de pessoas traumatizadas depois de verem o Nuno Luz no jacuzzi	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Barroso tenta negociar empate com Merkel	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
CDS defende que Governo deve aproveitar posição do FMI para negociar	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Eleições na Madeira motivaram 20 queixas contra jornais	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Acordo entre Passos e Seguro no IRC ainda terá de ser ratificado pelos líderes do PS : Soares , Costa e Sócrates 	Inimigo Público	0	0	0	1	0	0	0	1	1	0	0	0	
Peru António Costa vai ser morto e comido pelos socialistas depois da derrota na consoada de 4 de Outubro 	Inimigo Público	5	0	0	5	0	0	2	5	0	2	0	0	
Poesia de Fernando Pessoa traduzida e publicada na China apresenta heterónimo Licaldo Leis 	Inimigo Público	0	0	0	1	0	0	1	0	0	0	0	0	
Publicidade do Novo Banco : CR7 tem a companhia da Dona Activa , da Dona Juíza , da Dona Judiciária , da Dona Procuradora , da Dona Supervisora e da Dona Reguladora 	Inimigo Público	0	0	0	1	0	0	0	1	0	0	0	0	
Canal de televisão do Sporting vai arrancar cheio de garra em Setembro e cancelar as emissões ainda antes do Natal	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Apoiantes de António Costa recriaram o desembarque da Normandia no Largo do Rato 	Inimigo Público	0	0	0	1	0	0	1	1	0	0	0	0	
Carta escrita por Passos a Sócrates em 2011 prova que Passos só aprendeu a enviar emails em 2012 	Inimigo Público	5	0	0	5	0	5	0	1	0	0	0	0	
Controlo da RTP vai ficar nas mãos de entidade independente, diz Poiares Maduro	Público	0	0	0	0	0	0	0	0	0	0	0	0	
"Eduardo Catroga: ""O PS quer ver-se livre de Sócrates mas precisa de perder as eleições"""	Público	0	0	0	0	0	0	0	0	0	0	0	0	
"Joana Amaral Dias sobre a nudez: ""Porque não?"""	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Segurança Social obriga homem a devolver subsídio que recebeu por gravidez de risco porque a gravidez afinal não foi de risco 	Inimigo Público	0	0	0	1	0	0	0	0	1	0	0	0	
"CDS não colocará ""nenhum grão na engrenagem"" que ponha em causa acordo tripartido, garante Telmo Correia"	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Comunicação de Cavaco ao país faz cotação do queijo limiano subir em flecha 	Inimigo Público	5	0	0	5	0	1	5	0	0	0	0	0	
Secretariado Nacional do PS analisa perspectiva de revisão constitucional	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Universidade Católica adopta política ‘Don’t Ask, Don’t Tell’ que permite aos alunos usarem sandálias desde que não façam grande alarido sobre isso	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Inquérito aos swaps terminou como começou: longe do consenso político	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Distrital do PS recorda à do PSD as suas próprias críticas às políticas do Governo	Público	0	0	0	0	0	0	0	0	0	0	0	0	
PS assume preocupações constitucionais sobre reforço de poderes das secretas	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Largada de 50 inspectores do fisco no Ribatejo massacrou contribuintes corajosos e rendeu 500 mil euros	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Fernando Gomes apela aos presidentes dos clubes que se refiram apenas aos árbitros e não às suas mães	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Contramão constitucional	Público	0	0	0	0	0	0	0	0	0	0	0	0	
"Marques Guedes diz que ministra das Finanças como comissária é ""especulação"""	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Carro de luxo comprado por Rui Patrício até vem com um Paulo Bento sobresselente na bagageira 	Inimigo Público	0	0	0	1	0	1	0	1	0	0	0	0	
Garcia Pereira volta a liderar lista do PCTP/MRPP em Lisboa	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Mudanças climáticas fazem com que pinguins do Antárctico comam camarões, bebam minis e vejam o Euro 2012 em ecrãs gigantes	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Linces ibéricos deixaram de estar ‘criticamente em perigo’ , classificação que neste momento só é aplicada aos portugueses em geral 	Inimigo Público	0	0	0	1	0	0	1	0	0	0	0	0	
PSD marca directas para Janeiro e congresso para Fevereiro	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Indivíduo apanhou candidíase ao tocar numa carta picotada das Finanças	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Parlamento madeirense levanta imunidade a deputado acusado de corrupção 	Público	1	4	0	5	0	0	0	1	0	0	0	4	
Ana Gomes dispara sobre o PS e não poupa António Costa 	Público	4	1	0	5	0	0	1	3	0	1	0	1	
As novas palavras do léxico da maioria	Público	0	0	0	0	0	0	0	0	0	0	0	0	
"Redução de feriados é ""regresso ao feudalismo"" para ""reduzir rendimentos dos trabalhadores"""	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Santos Silva garante que promoções foram congeladas a 1 de Janeiro	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Foliões de Carnaval à chuva fazem lembrar a festa do Governo com a retoma económica num país falido 	Inimigo Público	0	0	0	1	1	0	0	0	0	0	0	0	
António José Seguro defende que as mamas da Petra deviam ser do tamanho das tetas da Dolly Parton	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
PS condena atraso do Governo para discutir DEO e Rectificativo	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Machete pede desculpa a Oliveira Costa por esclarecer o Parlamento sobre a SLN 	Inimigo Público	0	0	0	1	0	0	0	0	1	0	0	0	
Tribunal Constitucional dá luz verde à derrota humilhante de Fernando Seara em Lisboa 	Inimigo Público	0	0	0	1	0	0	0	0	1	0	0	0	
Revisão laboral permite a grupos mafiosos despedir sem ter que matar	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Chineses interessados na Base das Lajes porque pensam que na ilha Terceira se fala Mandarim	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Imigrantes subsaarianos que saltaram a cerca de Melilla para entrarem em Espanha aterraram em cima de espanhóis que se preparavam para fugir do país	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
"Governo promete novidades ""em breve"" sobre licenciatura de Miguel Relvas"	Público	0	0	0	0	0	0	0	0	0	0	0	0	
"""Desta vez é o mundo, todo ele, que precisa do seu 25 de Abril"", diz Almeida Santos"	Público	0	0	0	0	0	0	0	0	0	0	0	0	
"Coligação promete ""prémio de activação"" para combater o desemprego"	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Cancelada cimeira luso-angolana	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Facebook: Vítor Gaspar coloca “aumentar impostos” na parte da actividade profissional e nos 'hobbies'	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
"Rui Rio diz que ""faz todo sentido"" PSD e CDS-PP irem coligados às legislativas"	Público	0	0	0	0	0	0	0	0	0	0	0	0	
"Portas promete fazer tudo para ""melhorar ainda mais as relações com Angola"""	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Bombardeamento de más notícias confunde portugueses que pensam que Teixeira dos Santos perdeu 2-0 com o Schalke 04	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Coligação quer ser cremada quando morrer	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Pedro Passos Coelho eleito líder da JSD por engano	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Homem que cumpriu o desejo do Complexo de Édipo para encontrar paz de espírito enganou-se na cena e matou a mãe e fornicou o pai	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
"Vieira da Silva acusa Governo de se ""esconder atrás do PS"" nas pensões"	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Cavaco Silva: eleição de Portugal é um sucesso da diplomacia	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Jorge Jesus acha que devia ter ganho o Globo de Ouro para “Maior Revelação” do ano	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
"Decisão do TC é ""percalço"" para Revolução Branca"	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Danny recusa jogar na Selecção Nacional porque é objector de consciência	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
"Portas assegura que Portugal deverá ser ""caso bem sucedido"" de ajustamento"	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Médico da Selecção Nacional trabalhava no sector privado para outras selecções 	Inimigo Público	0	0	0	1	0	0	0	1	0	0	0	0	
Milionários portugueses oferecem prémio a quem inventar o coito interrompido do futuro 	Inimigo Público	0	0	0	1	0	0	0	0	0	0	1	0	
Seguro considera Bento XVI um mero técnico e escreveu directamente ao chefe dele 	Inimigo Público	0	0	0	1	0	0	1	0	0	0	0	0	
António Costa elevou o estatuto de autarca a um novo patamar ao conceber uma rotunda dentro de outra rotunda	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
PSD nega que Governo esteja a preparar medidas às escondidas	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Passos Coelho defende medidas urgentes para travar a queda da natalidade como reabrir todas as maternidades que mandou encerrar 	Inimigo Público	0	0	0	1	0	0	0	0	1	0	0	0	
"Seguro faz críticas à Europa e volta a reclamar que o PS ""tinha razão"""	Público	0	0	0	0	0	0	0	0	0	0	0	0	
PS anuncia que `` Passos Coelho vai cair '' 	Público	3	2	0	5	0	0	0	2	0	0	0	3	
Jornadas parlamentares do PS na Nazaré : deputados exigem que Seguro surfe onda da Praia do Norte ou vão buscar Costa para secretário-geral 	Inimigo Público	0	0	0	1	0	1	1	0	0	0	0	0	
"Godinho Lopes anuncia que os ""cinco violinos"" nunca jogaram no Sporting"	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Cavaco Silva quer eleições antecipadas e já marcou a data : 1 dia antes das eleições legislativas de 2015 	Inimigo Público	0	0	0	1	0	0	0	0	1	0	0	0	
Deus, Pátria?, Autoridade	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Presença de Passos em Viena afunda economia da Áustria para o nível da Grécia 	Inimigo Público	0	0	0	1	0	0	0	1	0	0	0	0	
